store,title,shortTitle,code,short_desc,description,expiry_date
Times Prime,Times Prime Susbscription at Rs. 999,"ONLY
₹999",& GET DEAL,,"['Get your Times Prime subscription at Rs. 999.', 'Times Prime Membership gives you access to Gaana Plus, Gourmet Passport by Dineout, TOI Plus, Oyo Wizard, Swiggy Super and many additional offers and benefits.', 'How to avail Deal : 1. Click on Get Deal 2. Purchase discounted products from the landing page.']",
Zomato,Stay Safe by using the Contactless Delivery Option for your Order,"ORDER
FOOD",& GET DEAL,,"['Use Contactless Delivery option when placing your orders on Zomato for a safer delivery mode.', 'Select the option while checking out and paying digitally.', 'The delivery agent will leave the package on a clean surface outside your door and send you a picture to notify you.', 'You can then safely pick up your order package and enjoy your meal.']",
Amazon,Upto 35% Off on Groceries and Daily Essentials,"SAVE
35%",& GET DEAL,,['Get Upto 35% Off on Groceries and Daily Essentials.'],
Fresh to Home,Shop for Rs. 599 and Get Idly/Dosa Batter for Rs. 1,"FLAT
₹ 1",IDLY@1,,"['Shop for Rs. 599 and Get Idly/Dosa Batter for Rs. 1.', 'Use coupon code to avail discount.']",
Zomato,Upto 20% Off on Your Orders,"20%
OFF",FLATOFF,,"['Get upto 20% off on your orders.', 'Minimum order is Rs. 999.', 'Valid only on select restaurants.', 'How to Redeem Coupon: 1. Click on Shop Now or Get Deal 2. Purchase from the landing page. 3. Apply coupon code at checkout.']",
Bharatiya.co,Upto 40% Off on Fresh Fruits and Veggies,"40%
OFF",& GET DEAL,,['Upto 40% Off on Fresh Fruits and Veggies.'],
Swiggy,Upto 50% Off on Top Restaurants,"50%
OFF",SWIGGYIT,,"['Get upto 50% off on top restaurants.', 'Valid on select restaurants.', 'Use coupon code to avail the offer.']",
JioMart,Upto 30% Off on Daily Essentials,"30%
OFF",& GET DEAL,,['Upto 30% Off on Daily Essentials.'],
Licious,Flat 20% Off on Your First Order + Free Delivery,"20%
OFF",NEW20,,"['Get flat 20% off on your first order + free delivery.', 'How to Redeem Coupon: 1. Click on Shop Now or Get Deal 2. Purchase from the landing page. 3. Apply coupon code at checkout.']",
Flipkart,Buy 1 Get 1 Free on Grocery Items,"BUY 1
GET 1",& GET DEAL,,"['Buy 1 get 1 free on grocery items.', 'Flipkart Offer Valid for All Users.', 'How to avail Deal : 1. Click on Get Deal 2. Purchase discounted products from the landing page.']",
McDonald's,Exclusive: Get 1 Small Fries Free on Orders above Rs.100,"FREE
FRIES",CD100,,"['Get 1 small fries free on orders above Rs.100.', 'Offer Valid on App, Web & Msite.', 'Offer Applicable on minimum spends of Rs. 100.', 'Offer applicable on regular and advance orders.', 'Offer can be redeemed by once per User per day.', 'How to Redeem Coupon: 1. Click on Shop Now or Get Deal 2. Purchase from the landing page. 3. Apply coupon code at checkout.']",
Licious,Upto 20% Off on Fish and Seafood Curry Cuts,"20%
OFF",& GET DEAL,,"['Get upto 20% off on Fish and Seafood Curry Cuts.', 'How to avail Deal : 1. Click on Get Deal 2. Purchase discounted products from the landing page.']",
Big Bazaar,Grocery Staples and More at Best Prices,"SHOP
GROCERY",& GET DEAL,,['Grocery Staples and More at Best Prices.'],
Grofers,Flat Rs. 100 Cashback on First 3 Orders,"SAVE
₹100",NEW100,,"['Get Flat Rs. 100 Cashback on First 3 Orders.', 'Use coupon code to avail discount.']",
KFC,Upto Rs. 250 Cashback on Orders above Rs. 250 via Paytm Wallet,"SAVE
₹250",& GET DEAL,,['Upto Rs. 250 Cashback on orders above Rs. 250 via Paytm Wallet.'],
